filename,title,abstract,publication_date,topics
2014-21224.xml,"OCC Guidelines Establishing Heightened Standards for Certain Large Insured National Banks, Insured Federal Savings Associations, and Insured Federal Branches; Integration of Regulations","The Office of the Comptroller of the Currency (OCC) is adopting guidelines, issued as an appendix to its safety and soundness standards regulations, establishing minimum standards for the design and implementation of a risk governance framework (Framework) for large insured national banks, insured Federal savings associations, and insured Federal branches of foreign banks (banks) with average total consolidated assets of $50 billion or more and minimum standards for a board of directors in overseeing the Framework's design and implementation (final Guidelines). The standards contained in the final Guidelines will be enforceable by the terms of a Federal statute that authorizes the OCC to prescribe operational and managerial standards for national banks and Federal savings associations. In addition, as part of our ongoing efforts to integrate the regulations of the OCC and those of the Office of Thrift Supervision (OTS), the OCC is adopting final rules and guidelines that make its safety and soundness standards regulations and guidelines applicable to both national banks and Federal savings associations and that remove the comparable Federal savings association regulations and guidelines. The OCC is also adopting other technical changes to the safety and soundness standards regulations and guidelines.",2014-09-11,"['Accounting', 'Administrative practice and procedure', 'Bank deposit insurance', 'Banks, banking', 'Banks, banking', 'Banks, banking', 'Banks, banking', 'Consumer protection', 'National banks', 'Privacy', 'Reporting and recordkeeping requirements', 'Savings associations', 'Security measures']"
2020-08603.xml,Swap Clearing Requirement Exemptions,"The Commodity Futures Trading Commission (Commission or CFTC) is proposing amendments to the regulations governing which swaps are exempt from the clearing requirement set forth in the Commodity Exchange Act (CEA). The proposed amendments would address the treatment of swaps entered into by certain central banks, sovereign entities, and international financial institutions. The Commission also is issuing a supplemental notice of proposed rulemaking to further propose amendments to exempt from required clearing swaps entered into by certain bank holding companies, savings and loan holding companies, and community development financial institutions. Lastly, the Commission is proposing to publish a compliance schedule setting forth all the past compliance dates for the 2012 and 2016 swap clearing requirement regulations and to make certain other, non-substantive technical amendments to the relevant part of its regulations.",2020-05-12,"['Business and industry', 'Cooperatives', 'Reporting and recordkeeping requirements', 'Swaps']"
2020-04776.xml,Financial Disclosures About Guarantors and Issuers of Guaranteed Securities and Affiliates Whose Securities Collateralize a Registrant's Securities,"The Securities and Exchange Commission (``Commission'') is adopting amendments to the financial disclosure requirements for guarantors and issuers of guaranteed securities registered or being registered, and issuers' affiliates whose securities collateralize securities registered or being registered in Regulation S-X to improve those requirements for both investors and registrants. The changes are intended to provide investors with material information given the specific facts and circumstances, make the disclosures easier to understand, and reduce the costs and burdens to registrants. In addition, by reducing the costs and burdens of compliance, issuers may be encouraged to offer guaranteed or collateralized securities on a registered basis, thereby affording investors protection they may not be provided in offerings conducted on an unregistered basis. Finally, by making it less burdensome and less costly for issuers to include guarantees or pledges of affiliate securities as collateral when they structure debt offerings, the revisions may increase the number of registered offerings that include these credit enhancements, which could result in a lower cost of capital and an increased level of investor protection.",2020-04-20,"['Reporting and recordkeeping requirements', 'Securities']"
02-5778.xml,Regulation To Restrict Dual Trading in Security Futures Products,"The Commodity Futures Trading Commission (``Commission'') hereby adopts regulation 41.27 that restricts dual trading by floor brokers in security futures products. Under the regulation, the dual trading restriction affects floor brokers that trade security futures products through open outcry on the trading floor of a designated contract market (``DCM'') or registered derivatives transaction execution facility (``DTF''). The regulation provides for certain exceptions to the restriction, including provisions for the correction of errors, customer consent, spread transactions, market emergencies, and unique or special characteristics of an agreement, contract, or transaction, or of the DCM or DTF.",2002-03-13,"['Commodity futures', 'Reporting and recordkeeping requirements']"
2020-25747.xml,Amendments to the Commission's Rules of Practice,The Securities and Exchange Commission (``Commission'') is adopting amendments to its Rules of Practice to require persons involved in Commission administrative proceedings to file and serve documents electronically.,2020-12-30,['Administrative practice and procedure']
2011-26431.xml,Roundtable on Issues Relating to Conflict Minerals,"On October 18, 2011, the Commission will hold a public roundtable at which invited participants will discuss various issues related to the Commission's required rulemaking under Section 1502 of the Dodd-Frank Wall Street Reform and Consumer Protection Act (the ``Act''), which relates to reporting requirements regarding conflict minerals originating in the Democratic Republic of the Congo and adjoining countries. Roundtable panelists are expected to reflect the views of different constituencies, including investors, affected issuers, human rights organizations, and other stakeholders. The roundtable will consist of a series of panels that are designed to provide a forum for various stakeholders to exchange views and provide input on issues related to the Commission's required rulemaking.",2011-10-13,[]
01-11609.xml,Applicability of Section 23A of the Federal Reserve Act to the Purchase of Securities From Certain Affiliates,"Section 23A of the Federal Reserve Act restricts the ability of a member bank to fund its affiliates through asset purchases, loans, or certain other transactions (``covered transactions''). The Board is adopting an interpretation that would expand the types of asset purchases that are eligible for the exemption in section 23A(d)(6), which exempts the purchase from an affiliate of an asset that has a readily identifiable and publicly available market quotation. This interpretation would expand the ability of an insured depository institution to purchase securities from its registered broker-dealer affiliates, while ensuring that the transactions are conducted in a manner that is consistent with safe and sound banking practices.",2001-05-11,"['Banks, banking', 'Banks, banking', 'Banks, banking', 'Banks, banking', 'Federal Reserve System']"
04-24910.xml,Securities Offering Reform,"The Securities and Exchange Commission is proposing rules that would modify and advance significantly the registration, communications, and offering processes under the Securities Act of 1933. Today's proposals would eliminate unnecessary and outmoded restrictions on offerings. In addition, the proposals would provide more timely investment information to investors without mandating delays in the offering process that we believe would be inconsistent with the needs of issuers for timely access to capital. The proposals also would continue our long-term efforts toward integrating disclosure and processes under the Securities Act and the Securities Exchange Act of 1934. The proposals would accomplish these goals by addressing communications related to registered securities offerings, delivery of information to investors, and procedural restrictions in the offering and capital formation processes.",2004-11-17,"['Investment companies', 'Reporting and recordkeeping requirements', 'Securities', 'Small businesses']"
2010-11176.xml,Assessments,The FDIC proposes to amend 12 CFR part 327 to revise the assessment system applicable to large institutions to better differentiate institutions by taking a more forward-looking view of risk; to better take into account the losses that the FDIC will incur if an institution fails; to revise the initial base assessment rates for all insured depository institutions; and to make technical and other changes to the rules governing the risk-based assessment system.,2010-05-12,[]
2011-12019.xml,Electronic Fund Transfers,"The Board is proposing to amend Regulation E, which implements the Electronic Fund Transfer Act, and the official staff commentary to the regulation, which interprets the requirements of Regulation E. The proposal contains new protections for consumers who send remittance transfers to consumers or entities in a foreign country, by providing consumers with disclosures and error resolution rights. The proposed amendments implement statutory requirements set forth in the Dodd-Frank Wall Street Reform and Consumer Protection Act.",2011-05-23,"['Consumer protection', 'Electronic funds transfers', 'Federal Reserve System', 'Reporting and recordkeeping requirements']"
